"ID","session","midterm","quiz_1","quiz_2","quiz_3"
1,"","Manual Posting","Manual Posting","Manual Posting","Manual Posting"
2,"","0.00","0.00","0.00","0.00"
3,"國立嘉義大學","","","",""
4,"國立臺灣大學修課學生 (ECON2022-03)","75.00","22.00","22.00","14.00"
5,"國立臺灣大學修課學生 (ECON2022-03)","67.00","15.00","3.00","15.00"
6,"國立臺灣大學修課學生 (ECON2022-03)","50.00","20.00","6.00","14.00"
7,"臺北醫學大學","0.00","","",""
8,"國立臺灣大學修課學生 (ECON2022-03)","42.00","14.00","8.00","14.00"
9,"國立臺灣大學修課學生 (ECON2022-03)","34.00","10.00","16.00","7.00"
10,"國立臺灣大學修課學生 (ECON2022-03)","19.00","16.00","9.00","3.00"
11,"國立臺灣大學修課學生 (ECON2022-03)","33.00","19.00","8.00","14.00"
12,"國立臺北大學","","","",""
13,"衛星課程協同教師、助教","","","",""
14,"高雄醫學大學","","","",""
15,"衛星課程協同教師、助教","","","",""
16,"國立勤益科技大學","","","",""
17,"國立臺灣大學修課學生 (ECON2022-03)","96.00","25.00","29.00","18.00"
18,"元智大學","","","",""
19,"國立臺灣大學修課學生 (ECON2022-03)","55.00","17.00","15.00","12.00"
20,"國立臺灣大學修課學生 (ECON2022-03)","84.00","15.00","29.00","23.00"
21,"衛星課程協同教師、助教","","","",""
22,"國立臺灣大學修課學生 (ECON2022-03)","96.00","28.00","29.00","21.00"
23,"衛星課程協同教師、助教","0.00","","",""
24,"國立雲林科技大學","","","",""
25,"國立臺灣大學修課學生 (ECON2022-03)","44.00","17.00","3.00","9.00"
26,"國立臺灣大學修課學生 (ECON2022-03)","85.00","0.00","",""
27,"國立臺灣大學修課學生 (ECON2022-03)","48.00","17.00","","12.00"
28,"國立宜蘭大學","","0.00","",""
29,"國立中山大學","","","",""
30,"國立臺灣大學修課學生 (ECON2022-03)","46.00","13.00","",""
31,"國立中興大學","","","",""
32,"衛星課程協同教師、助教","","","",""
33,"衛星課程協同教師、助教","","","",""
34,"元智大學","","","",""
35,"國立臺灣大學修課學生 (ECON2022-03)","86.00","25.00","26.00","22.00"
36,"TAICA 計畫辦公室","","","",""
37,"國立臺灣大學修課學生 (ECON2022-03)","75.00","17.00","9.00","10.00"
38,"國立臺灣大學修課學生 (ECON2022-03)","49.00","","24.00","13.00"
39,"國立臺灣大學修課學生 (ECON2022-03)","66.00","21.00","15.00","12.00"
40,"國立政治大學","","","",""
41,"衛星課程協同教師、助教","","","",""
42,"衛星課程協同教師、助教","","","",""
43,"衛星課程協同教師、助教","","","",""
44,"衛星課程協同教師、助教","","","",""
45,"國立勤益科技大學","","","",""
46,"衛星課程協同教師、助教","","","",""
47,"國立臺灣大學修課學生 (ECON2022-03)","69.00","15.00","16.00","12.00"
48,"國立臺灣大學修課學生 (ECON2022-03)","73.00","21.00","17.00","12.00"
49,"衛星課程協同教師、助教","","","",""
50,"國立宜蘭大學","0.00","0.00","",""
51,"元智大學","","","",""
52,"衛星課程協同教師、助教","0.00","","",""
53,"臺北醫學大學","","","",""
54,"衛星課程協同教師、助教","","","",""
55,"國立臺灣大學修課學生 (ECON2022-03)","74.00","24.00","25.00","28.00"
56,"衛星課程協同教師、助教","","0.00","",""
57,"衛星課程協同教師、助教","","","",""
58,"國立臺灣大學修課學生 (ECON2022-03)","63.00","23.00","30.00","23.00"
59,"元智大學","","","",""
60,"國立中興大學","","","",""
61,"衛星課程協同教師、助教","","","",""
62,"國立臺灣大學修課學生 (ECON2022-03)","74.00","17.00","","28.00"
63,"衛星課程協同教師、助教","","","",""
64,"衛星課程協同教師、助教","","","",""
65,"國立高雄科技大學","","","",""
66,"元智大學","","","",""
67,"國立臺灣大學修課學生 (ECON2022-03)","93.00","","17.00","13.00"
68,"衛星課程協同教師、助教","","","",""
69,"國立臺灣大學修課學生 (ECON2022-03)","66.00","1.00","29.00","22.00"
70,"國立臺灣大學修課學生 (ECON2022-03)","96.00","17.00","22.00","19.00"
71,"國立臺灣大學修課學生 (ECON2022-03)","91.00","21.00","29.00","13.00"
72,"國立臺灣大學修課學生 (ECON2022-03)","88.00","18.00","30.00","19.00"
73,"衛星課程協同教師、助教","","","",""
74,"衛星課程協同教師、助教","","","",""
75,"國立臺灣大學修課學生 (ECON2022-03)","43.00","2.00","0.00","2.00"
76,"元智大學","","0.00","",""
77,"國立臺灣大學修課學生 (ECON2022-03)","69.00","18.00","26.00","21.00"
78,"國立中興大學","","","",""
79,"國立中興大學","","","",""
80,"國立臺灣大學修課學生 (ECON2022-03)","73.00","19.00","30.00","14.00"
81,"國立中興大學","","","",""
82,"衛星課程協同教師、助教","","","",""
83,"衛星課程協同教師、助教","","","",""
84,"國立聯合大學","","","",""
85,"國立中山大學","","","",""
86,"國立中興大學","","","",""
87,"衛星課程協同教師、助教","","0.00","",""
88,"衛星課程協同教師、助教","","","",""
89,"衛星課程協同教師、助教","","","",""
90,"國立臺灣大學修課學生 (ECON2022-03)","74.00","17.00","26.00","21.00"
91,"國立臺灣大學修課學生 (ECON2022-03)","93.00","20.00","22.00","20.00"
92,"國立中山大學","","","",""
93,"衛星課程協同教師、助教","","0.00","",""
94,"國立中山大學","0.00","","",""
95,"衛星課程協同教師、助教","","","",""
96,"靜宜大學","","0.00","",""
97,"國立勤益科技大學","","","",""
98,"衛星課程協同教師、助教","","","",""
99,"衛星課程協同教師、助教","","","",""
100,"衛星課程協同教師、助教","","","",""
101,"元智大學","","","",""
102,"國立臺灣大學修課學生 (ECON2022-03)","77.00","16.00","21.00","19.00"
103,"國立臺灣大學修課學生 (ECON2022-03)","80.00","24.00","29.00","12.00"
104,"衛星課程協同教師、助教","","","",""
105,"衛星課程協同教師、助教","","","",""
106,"國立臺灣大學修課學生 (ECON2022-03)","96.00","","22.00","22.00"
107,"國立臺灣大學修課學生 (ECON2022-03)","81.00","21.00","25.00","22.00"
108,"衛星課程協同教師、助教","","","",""
109,"元智大學","","","",""
110,"衛星課程協同教師、助教","","","",""
111,"國立臺灣師範大學","","","",""
112,"衛星課程協同教師、助教","","","",""
113,"國立臺灣大學修課學生 (ECON2022-03)","8.00","5.00","9.00","8.00"
114,"國立臺灣大學修課學生 (ECON2022-03)","59.00","21.00","29.00","24.00"
115,"元智大學","","","",""
116,"國立臺灣大學修課學生 (ECON2022-03)","72.00","22.00","","16.00"
117,"國立臺灣大學修課學生 (ECON2022-03)","94.00","15.00","23.00","22.00"
118,"輔仁大學","","","",""
119,"衛星課程協同教師、助教","","","",""
120,"國立臺灣大學修課學生 (ECON2022-03)","84.00","25.00","29.00","22.00"
121,"衛星課程協同教師、助教","","","",""
122,"國立臺灣大學修課學生 (ECON2022-03)","68.00","","29.00","23.00"
123,"衛星課程協同教師、助教","","","",""
124,"元智大學","","","",""
125,"國立中山大學","","","",""
126,"國立政治大學","","","",""
127,"國立臺灣大學修課學生 (ECON2022-03)","96.00","24.00","26.00","16.00"
128,"國立成功大學","","0.00","",""
129,"國立臺灣大學修課學生 (ECON2022-03)","96.00","22.00","29.00","25.00"
130,"衛星課程協同教師、助教","","","",""
131,"國立中山大學","","","",""
132,"國立臺灣大學修課學生 (ECON2022-03)","96.00","26.00","25.00","19.00"
133,"國立成功大學","","","",""
134,"國立臺灣大學修課學生 (ECON2022-03)","68.00","21.00","14.00","14.00"
135,"國立中山大學","","","",""
136,"國立臺灣大學修課學生 (ECON2022-03)","36.00","14.00","26.00","7.00"
137,"國立臺灣大學修課學生 (ECON2022-03)","96.00","25.00","26.00","19.00"
138,"國立臺灣大學修課學生 (ECON2022-03)","73.00","0.00","23.00","18.00"
139,"淡江大學","","","",""
140,"國立雲林科技大學","","","",""
141,"國立勤益科技大學","","","",""
142,"國立臺灣大學修課學生 (ECON2022-03)","72.00","18.00","24.00","19.00"
143,"衛星課程協同教師、助教","","","",""
144,"衛星課程協同教師、助教","","","",""
145,"國立臺灣大學修課學生 (ECON2022-03)","94.00","18.00","23.00","30.00"
146,"銘傳大學","","","",""
147,"國立中興大學","","0.00","",""
148,"國立臺灣大學修課學生 (ECON2022-03)","96.00","21.00","30.00","23.00"
149,"衛星課程協同教師、助教","","","",""
150,"衛星課程協同教師、助教","","","",""
151,"國立勤益科技大學","","0.00","",""
152,"國立臺灣大學修課學生 (ECON2022-03)","96.00","24.00","9.00","26.00"
153,"衛星課程協同教師、助教","","","",""
154,"國立臺灣大學修課學生 (ECON2022-03)","91.00","18.00","21.00","26.00"
155,"國立臺灣大學修課學生 (ECON2022-03)","96.00","24.00","6.00","21.00"
156,"國立臺灣大學修課學生 (ECON2022-03)","58.00","0.00","30.00","12.00"
157,"國立臺灣大學修課學生 (ECON2022-03)","72.00","0.00","25.00","20.00"
158,"衛星課程協同教師、助教","","","",""
159,"國立臺灣大學修課學生 (ECON2022-03)","41.00","17.00","15.00","17.00"
160,"國立臺灣大學修課學生 (ECON2022-03)","90.00","14.00","20.00","25.00"
161,"衛星課程協同教師、助教","","","",""
162,"國立臺灣大學修課學生 (ECON2022-03)","96.00","23.00","20.00","30.00"
163,"國立臺灣大學修課學生 (ECON2022-03)","78.00","15.00","27.00","14.00"
164,"國立勤益科技大學","","","",""
165,"國立中興大學","","0.00","",""
166,"衛星課程協同教師、助教","","","",""
167,"衛星課程協同教師、助教","","","",""
168,"國立臺灣大學修課學生 (ECON2022-03)","63.00","1.00","8.00","20.00"
169,"衛星課程協同教師、助教","","","",""
170,"衛星課程協同教師、助教","","","",""
171,"國立臺灣大學修課學生 (ECON2022-03)","60.00","15.00","","15.00"
172,"衛星課程協同教師、助教","","0.00","",""
173,"衛星課程協同教師、助教","","","",""
174,"衛星課程協同教師、助教","","","",""
175,"衛星課程協同教師、助教","","","",""
176,"衛星課程協同教師、助教","","","",""
177,"衛星課程協同教師、助教","","","",""
178,"國立中山大學","","","",""
179,"中國醫藥大學","","0.00","",""
180,"衛星課程協同教師、助教","","","",""
181,"輔仁大學","","","",""
182,"國立臺灣大學修課學生 (ECON2022-03)","65.00","11.00","17.00","11.00"
183,"中原大學","","","",""
184,"衛星課程協同教師、助教","","","",""
185,"衛星課程協同教師、助教","","","",""
